Group,Source,Content,L1,L2
SHOPEE GROUP - Cộng đồng Shopee Việt Nam,Non Owned,Cả nhà cho mình hỏi sao shopee báo hoàn tiền 2 ngày r check bên ví vẫn số 0 là sao ạ,Return/Refund,Process RR
Google Play,Google Play,Không mua hàng được. Báo tự trả hàng,Return/Refund,Request RR
Google Play,Google Play,Chính sách hoàn hàng tiếp tay cho lũ lừa đảo cướp hàng,Return/Refund,Dispute
HC search,HC search,trả hàng bao lâu đươc hoàn tien,Return/Refund,Request RR
iOS,iOS,Dm k bảo vệ khách hàng nhiều gian hàng lừa đảo vẫn để bọn nó tồn tại tố cáo k được,Buyer complained seller,Sellers cheated Buyers (Sellers tried to reach me outside of Shopee App)
Chợ Máy Ảnh,Google Play,Tôi đặt hàng 107.000nghin đồng mà shop chỉ giao cho tôi toàn giấy má khi chất với shop thì ko đc,Buyer complained seller,Sellers cheated Buyers (Sellers tried to reach me outside of Shopee App)
iOS,iOS,Ứng dụng bán hàng nhái số 1 VN,Buyer complained seller,Product quality
Google Play,Google Play,Mọi người né cái shop NONOSTYLE này ra shop này bán hàng giả đó. Bán hàng về dùng không được gửi về shop kiểm tra bảo hành xong không thấy hàng quay trở về cho khách. mọi người cẩn thận.LH tôi sẽ gửi videos cho,Buyer complained seller,Sellers cheated Buyers (Sellers tried to reach me outside of Shopee App)
Google Play,Google Play,Không đặt được hàng nt cũng không phản hồi làm việc tệ quá cứ nhập mã free ship là bị lỗi M01 không cho mua làm mất nhiều mã bị giới hạn thời gian quá nhiều sự ức chế,Buyer complained seller,Product quality
Nghiện Shopee - Hội Săn Mã Giảm Giá Shopee Lazada,Non Owned,Mn ơi. Cho e hỏi e đặt của shop này 1top 1 base. Mà shop giao 2 base. E nt shop k trả lời Giờ mk ấn trả hàng hoàn tiền là đc đúng k ạ. 💍  Trả hàng thế mk có mất phí gì k ạ. Và làm thế nào để shipper đến lấy hàng đó ạ.  Bao lâu thì mình đc hoàn tiền ạ. Và hoàn về đâu ạ.  E chưa hoàn hàng thế bao giờ. Mn chỉ e với ạ. E cảm ơn mn ❤️❤️,Buyer complained seller,Sellers packed fake orders
Google Play,Google Play,Shopper thì thân thiện nhưng hàng có vấn đề :))),Buyer complained seller,Product quality
