Source,Content,L1,L2
Google Play,Thanh toán tài khoản ngân hàng bị trừ tiền mà đơn hàng vẫn báo chưa thanh toán. Tệ,Payment,Payment issues
Non Owned,"Đặt trước Watch Fit 2, Watch GT 3 Pro và Watch Kids Pro 4 với nhiều quà tặng giá trị",Others,Cannot defined
iOS,Đề nghị sàn thương mại làm việc với các bên đối tác vận chuyển. Giao hàng mà như bố đời mẹ thiên hạ. Hết J&T rồi giờ tới Best express.,Delivery,Driver
Non Owned,"Sáng tới giờ điện thoại cứ tò te tò te ShọpPi không phải đơn tăng, mà là lượt theo dõi, lượt truy cập, cũng tăng hơn 3k fl rồi, không biết bác nào buff nhầm shop em, mọi người ơi cho em hỏi như vậy shop có bị ảnh hưởng gì không ạ, run tờ trym quá đi mất :(",Others,Seller
Google Play,Bị out tk ra mà ko hiểu lí do vì sao.,Feature,App performance
HC search,zalo,Others,Cannot defined
Non Owned,"Mong admin duyệt bài giúp em ạ #qcshopee #gomorder #99k 🌼LINK: http://shopee.vn/chanme.order  💦Đến mùa nắng mưa thất thường rồi nhiều lúc tìm cái che nắng che mưa mà chẳng thấy đâu, lại lọ mọ ngồi search thì ưng ngay em này từ cái nhìn đầu tiên 😍😍  ✅ Màu: em đánh số từ 1-10 trong ảnh 💓 Giá: #99kkk_ô không kèm hộp, lấy thêm hộp đựng +25k   THÔNG TIN SẢN PHẨM - Hàng nội địa chuẩn từng nét, thiết kế nhỏ gọn kèm hộp, sử dụng lớp vải đen chống tia UV cực tốt, ưu việt hơn các loại ô bình thường - Giảm nhiệt độ dưới trời nắng - Chị em dự định đi du lịch thì nên múc ngay 1 em mang theo, các mẹ mua cho bé mang đi học cũng tiện lắm ạ  🚀 Hàng order 4-6 tuần, không có sẵn ạ",Commercial,Items/price
Google Play,Đơn hàng mình đặt 4 ngày mà ko giao đi mong đội shopee xem xét lại và giao đơn hàng đi ạ,Delivery,Delivery time
Non Owned,Mình cần 10 bạn đặt đơn shopee. CÔNG 10k- KHÔNG NHẬN HÀNG - KHÔNG CẦN ÁP MÃ ===== Yêu cầu: - Tài khoản 3 THÁNG trở lên và đã từng mua hàng - Đánh giá theo hình ảnh mình cung cấp CÁC BẠN CHỦ ĐỘNG IB GIÚP MÌNH NHA,Others,Scam
Google Play,Tải về đki tk mới áp mã không đc càng ngày càng lôm côm bịp bợm,Feature,Apply Voucher
Non Owned,"Mong ad duyệt bài. Em vừa suýt bị lừa các bác ạ Chuyện là 2 hôm trước e có nhận dc điện thoại của 1 người tự xưng là bên Công An PCCC của tỉnh yêu cầu e tham gia lớp tập huấn PCCC bắt buộc đối với các hộ kinh doanh với chi phí 490k. Thời gian và địa điểm sẽ gửi công văn qua đường bưu điện. Hôm nay e lại nhận dc cuộc gọi từ người khác nói là nhân viên bưu điện đến giao công văn của bên PCCC và bảo e thanh toán 490k. E hẹn mai giao và e có tìm số của bên PCCC để hỏi về việc này thì dc biết đây là thủ đoạn lừa đảo, bên PCCC họ nói nó đòi 490k là ít đấy chứ các trường hợp khác còn mất 4-5 triệu cơ. Các bác bán hàng thì cẩn thận nhé",Others,Scam
Non Owned,"Thanh lý bánh trung thu nửa giá trên ‘chợ mạng’ “Em cần bán hộp bánh trung thu mới nguyên do không có nhu cầu sử dụng. Giá cửa hàng 2,5 triệu đồng, giá thanh lý chỉ 1,5 triệu đồng”. Trên các “chợ mạng” gần đây, không khó bắt gặp những bài đăng bán lại bánh trung thu “hàng hiệu” với giá chỉ bằng 50-70% giá gốc. Nhiều người tranh thủ mua bán khi ngày lễ đã cận kề. Bánh trung thu nửa giá Chị Ngân Vũ (28 tuổi, TP.HCM) chia sẻ: “Cả tôi và chồng đều được các đối tác kinh doanh tặng nhiều bánh trung thu. Số lượng lên đến hơn 10 hộp. Nhà ăn không hết, đem tặng họ hàng, bạn bè vẫn còn dư nên tôi bán lại cho người có nhu cầu kẻo qua lễ, bánh hết hạn”. Thông thường, chị giảm 30-50% giá bánh gốc. Vì vậy, những hộp bánh có giá 1-3 triệu chỉ còn từ 500.000 đồng đến 1,5 triệu đồng. Người bán thường chọn các group dân cư trong khu vực để tiện trao đổi. Chị Hà Giang (28 tuổi, TP.HCM) chia sẻ: “Tôi tình cờ thấy người sống cùng khu chung cư rao bán một hộp bánh chỉ nửa giá nên mua ngay. Việc mua bán diễn ra đơn giản, nhanh chóng vì người bán ở ngay block bên cạnh. Tôi thấy việc này giúp tiết kiệm và tránh lãng phí. Nhiều người được biếu tặng bánh rất nhiều dù không có nhu cầu sử dụng”. Tin nhắn thanh lý bánh trung thu trên các group dân cư. Chị Giang cho biết mình từng mua “sang tay” một hộp bánh của khách sạn 5 sao để ăn thử với giá thấp hơn rất nhiều so với mua trực tiếp. Theo chị, cần xác định rõ mục đích mua lại để biếu tặng hay để gia đình ăn thử. “Khi mua lại để tặng người khác, tôi phải để ý rất kỹ đến túi đựng, vỏ hộp xem còn nguyên vẹn hay không. Còn nếu mua để ăn, tôi không quá coi trọng hình thức bên ngoài mà chỉ để tâm đến thương hiệu và vị bánh”. Ngoài ra, người mua cũng cần tham khảo kỹ giá cả để tránh mua nhầm hàng nhái, hàng kém chất lượng đội lốt “bán lại bánh xịn vì không có nhu cầu sử dụng”. Cẩn trọng khi mua bánh trên sàn TMĐT Chỉ còn vài ngày nữa là đến rằm tháng 8, thị trường bánh trung thu vì thế không còn quá rộn ràng. Theo khảo sát của Zing, nhiều cửa hàng bán bánh đã treo biển “mua 1 tặng 2”, “mua 1 tặng 3”, song không quá hút khách. Năm nay, các thương hiệu lớn ngoài việc đẩy mạnh bán ở các cửa hàng truyền thống đã đẩy mạnh hoạt động bán hàng trên các kênh phân phối khác như sàn TMĐT, các ứng dụng giao hàng. Mondelez Kinh Đô hoạt động nổi bật trên các kênh mua sắm trực tuyến lớn Lazada, Shopee, và Tiki từ rất sớm. Ngoài ra, hãng còn bắt tay với các ứng dụng giao hàng Baemin, Grab để người tiêu dùng có thể mua hàng nhanh chóng tại các quận chính ở TP.HCM và Hà Nội. Năm nay, KIDO đặt mục tiêu tung 300 tấn bánh và chinh phục vị trí thứ 2 thị trường trong vòng 3 năm nhưng hiện đã hoàn thành vượt kế hoạch đề ra. Trên các sàn TMĐT, thị trường bánh trung thu khá sôi động do nhiều người đã quen với việc mua sắm online. Ngoài những thương hiệu lớn, khá nhiều người rao bán bánh không rõ nguồn gốc, xuất xứ. Trước đó, nhiều loại bánh trung thu mini với màu sắc sặc sỡ, đa dạng kiểu dáng và bao bì in chữ Trung Quốc bắt đầu được tiểu thương bày bán tràn lan trên sàn TMĐT. Không chỉ mập mờ về nguồn gốc, xuất xứ, những chiếc bánh còn có thời hạn sử dụng khác nhau, không đồng nhất. Đại diện Shopee cho biết sẽ có biện pháp xử lý kịp thời khi phát hiện hoặc nhận được phản ánh về hành vi kinh doanh vi phạm pháp luật, đồng thời loại bỏ khỏi website những thông tin/hàng hóa, dịch vụ vi phạm pháp luật khi phát hiện hoặc nhận được phản ánh có căn cứ. “Đối với các mặt hàng thực phẩm nói chung, người bán cần tuân thủ các quy định về công bố thông tin an toàn vệ sinh thực phẩm theo quy định. Cụ thể: Giấy xác nhận công bố phù hợp quy định an toàn thực phẩm và Giấy chứng nhận đại lý/hợp đồng mua bán/hóa đơn mua hàng trong nước”, Shopee lưu ý. Bánh Trung thu mini từ Trung Quốc có giá “siêu rẻ”. Tương tự, hai sàn là Lazada và Tiki cũng yêu cầu người bán hàng cung cấp đủ các loại giấy tờ, ví dụ chứng từ chứng minh nguồn gốc (đối với hàng nội địa) và giấy tờ thông quan chính ngạch (đối với hàng nhập khẩu). “Nếu sản phẩm bánh Trung thu của nhà bán hàng không có chứng từ hợp lệ, hoặc không đảm bảo được chất lượng, Lazada sẽ yêu cầu gỡ bỏ sản phẩm. Trường hợp phát hiện hành vi vi phạm của nhà bán hàng, sàn sẽ tắt niêm yết sản phẩm và áp dụng các hình thức phạt phù hợp khác đối với nhà bán hàng”, đại diện Lazada khẳng định. Bên cạnh đó, Tiki khuyến cáo chọn và sử dụng bánh Trung thu được phân phối bởi nhà bán lớn, có uy tín trên thị trường. Sản phẩm phải có nguồn gốc rõ ràng và có tên của nhà sản xuất, địa chỉ nơi sản xuất và hướng dẫn sử dụng, bảo quản và có tem nhãn phụ ghi bằng tiếng Việt theo quy định đối với hàng hóa nhập khẩu. Diệu Thanh – Minh Khánh",Others,Cannot defined
Google Play,Chê chêêêêêêêêêêêêê,Others,Cannot defined
Google Play,Cho thêm chức năng ít đề xuất mấy thứ mình chọn đi. Nó hiện mấy cái mà 18+ nhìn mà tức,Feature,Search & Recommendations
Google Play,Quá phức tạp vs việc đăng nhập và đăng kí lúc đăng nhập thì bảo bị khoá lúc đăng kí thì bảo hiện không thể nhận đc số này xác nhận mã thì đợi cả phút không thấy hiện về và số sim đt tôi đã đăng kí hoặc đăng nhập đều là số sim mua và rất mới làm ăn còn phải vấn đề về số xác minh đủ kiểu thì xoá ik cho xong 😡😡,Shopee account,Account security
Non Owned,Mọi người cho e hỏi với ạ e có lập thêm 1 nick phụ nhưng không hiểu sao cứ đăng sản phẩm đc 1p vào thì không còn nữa ạ 😪😪😪,Others,Seller
Non Owned,Check momo zalo có vocher như hình em thu ạ Thu hoá đơn momo zalo Thu điện nước shoppe Bank siêu tốc,Others,Scam
Non Owned,"Em passs đồ mng ơi , dép size 37-38 😢  Quần áo em mua shop hết hàng qc , có ship qua shopee ạ , em ở HN !!",Others,Seller
Google Play,"Càng ngày càng đơ và lỗi, thử thách shopee lấy xu mắc chán",Feature,App performance
Google Play,"Cấu kết với bọn mất dạy lừa đảo người bán. Chính sách trả hàng hoàn tiền không công bằng . Không rõ ràng, mập mờ, thiếu chuyên nghiệp, lừa đảo Lấy công việc, công sức mồ hôi của người khác ra tiếp tay cho bọn ác . Shopee là lũ lừa đảo, thất đức, mất dạy.",Return/Refund,Dispute
Non Owned,Quét qr vô nhóm mình để buôn bán trao đổi vocher zalo momo vnpay shopee cho uy tín mn ơi 10tv nữa 300tv lên bao lixi,Others,Scam
Owned,"**2 TIẾNG NỮA - LẮC SIÊU XU 100% TRÚNG **  19:45 hôm nay vào app Shopee lắc xu nhé, đừng quên BẬT NÚT NHẮC TÔI và bình chọn chia kho xu khủng nhé: https://shopee.vn/TV-NoiVuiMuaNhieu   Bạn nào lắc xu xong nhớ bình luận phía dưới để khoe với Ad và Group nha, cảm ơn cả nhà!   #ShopeeLive #NoiVuiMuaNhieu #DuyKhuong",Commercial,Shopee Programs
Google Play,Chỉ cho chọn hình thức giao hàng shopee ex,Order/Item,Order/Item Others
Google Play,"App rác, mn không nên tải, canh sale rất cực để mua được hàng tốt, ship chỉ mới nhận hàng chưa về đến VN shopee đã tự hủy, xoá app ngay và luôn, mn nên mua lazada sẽ ok hơn app rác này",Order/Item,Order cancelled
Non Owned,🥦🌸🥒🫑🥬  Phân hữu cơ nhà làm từ đậu nành trứng chuối cám gạo vỏ trứng xay nhuyễn.  Shop đang có chương trình khuyến mãi hấp dẫn trên Shopee với mức ưu đãi là 45k/lít; tên shop trên Shopee là “hongnhunghumic “.  Thương mời mn😍😍😍 #gechuoi #phanhuucodaunanhtrungchuoi #phanhuucotuongtrungchuoi,Others,Cannot defined
Google Play,"Lỗi quài, chờ khắc phục cũng hơn 1 ngày. Chán thiệt sự",Feature,App performance
Google Play,sao toàn kêu bị lỗi là saoo,Feature,App performance
Non Owned,SOS Sản phẩm áo thun bị khoá do ko rõ nguồn gốc thì mở lại kiểu gì vậy các Shop. Ai biết chỉ mình với,Others,Seller
Non Owned,"Mùa hè là lúc thời tiết thay đổi khá mạnh, cơ thể non nớt của các con dễ gặp các vấn đề về tiêu hoá và miễn dịch trong thời điểm này, bởi vậy mình rất lo lắng.  Mình cũng tìm đủ mọi cách để cùng con cải thiện tình hình và nâng cao sức khỏe cho bé. Và cuối cùng khi biết đến NAN Infinipro A2-3 mình vui lắm, đây là dòng sản phẩm sở hữu bộ đôi sữa đạm A2 và phức hợp quý 5HMO giúp con vừa có hệ tiêu hóa khỏe, vừa có hệ miễn dịch vượt trội.  NAN Infinipro A2-3 với sữa đạm A2 từ Châu Âu từ giống bò thuần chủng cổ đại, vượt trội hơn nhiều so với đạm A1 - vốn dễ gây các triệu chứng rối loạn tiêu hóa.Sữa đạm A2 hỗ trợ tiêu hóa, giúp bé dễ hấp thu, không gây nôn, trớ, rối loạn tiêu hóa ở trẻ. Lại thêm phức hợp quý 5 HMO, gồm những loại HMO thiết yếu (LNT, 3’SL, 6’SL, 2’FL và DFL), đã được chứng minh giúp trẻ thiết lập hệ vi sinh đường ruột khỏe mạnh. Từ đó bé ăn ngoan ngủ ngon và khỏe mạnh trông thấy.  Sản phẩm có hương vị thơm ngon dễ dùng nên bé nhà mình mê tít, sau 1 thời gian đều đặn cho con dùng mỗi ngày mình thấy con tiêu hoá tốt hơn, con hết táo bón nên khả năng hấp thu cũng tăng lên nhiều, con luôn đủ sức khoẻ để vui chơi, học hỏi và khám phá thế giới xung quan, mình vui lắm.  Có lẽ NAN Infinipro A2-3 là lựa chọn tốt nhất mà các mẹ không thể bỏ qua, hãy tìm hiểu ngay về bộ đôi này của NAN Infinipro A2-3, sản phẩm đầu tiên và duy nhất nhà Nestlé có sự kết hợp của bộ đôi đột phá này để cùng con khôn lớn mỗi ngày, mình tin là các mẹ cũng sẽ hài lòng đấy ạ. Mùa hè không còn là nỗi lo lắng khi con có người vệ sĩ NAN Infinipro A2-3.  📣  Siêu phẩm NAN INFINIPRO A2 - 3 hiện nay đã có mặt tại AvaKids và các chuỗi cửa hàng mẹ và bé lớn trên toàn quốc, các mẹ tham khảo tại:  👉🏻 AvaKid: [https://bitlink.vn/J1NFq](https://bitlink.vn/J1NFq)  Hoặc mua hàng tiện lợi trên hệ thống của Con Cưng, Kids Plaza, Thế giới sữa, Bibo Mart và các sàn thương mại điện tử Tiki, Shopee nhé các mẹ ơi.  👉🏻 Con Cưng: [https://bitlink.vn/wMMqM](https://bitlink.vn/wMMqM)  👉🏻 Kids Plaza: [https://bitlink.vn/krBBo](https://bitlink.vn/krBBo)  👉🏻 Thế giới sữa: [https://bitlink.vn/GSibd](https://bitlink.vn/GSibd)  👉🏻 Bibo Mart: [https://bitlink.vn/yyJNk](https://bitlink.vn/yyJNk)  👉🏻 Tiki:[ https://bitlink.vn/7sKCJ](https://bitlink.vn/7sKCJ)  👉🏻 Shopee:[ ](https://bitlink.vn/jJjIM)[https://bitlink.vn/XSj6S](https://bitlink.vn/XSj6S)  #NANInfiniproA2-3 #BộĐôiĐộtPhá #VượtBiếnNgàyHè #A2 #5HMO",Others,Cannot defined
Google Play,Hỗ trợ kém,Services,Contact Agent
Google Play,"Ứng dụng lag quá trời, mạng mạnh nhưng không tải được hình sản phẩm, cập nhật nhiều phiên bản mà chẳng có gì thay đổi. Đánh giá app này còn nhiều thiếu sót!",Feature,App performance
Non Owned,Ko biết mình có thù gì với shopee pay ko nữa 🥲 Một tk thì ko liên kết được Lập 2 tk khác thì lk được nhưng áp mã ko được 😭,Shopee account,Shopee account Others
Owned,"#ShopeePay55 #DunggiPaynay Username: annna9204 💘💘Mình dùng ShopeePay để mua vé xem phim vừa nhanh vừa rẻ nheeee +Bữa được mã giảm 30k giảm mã xem phim cgv trong ưu đãi đối tác khi nhập mã thì quá là thích thú luôn, còn được tận 2 mã cơ mọi người vậy là được giảm tận 60k cho 2 vé xem phim rồi nè. ++Ưu đãi hồi tháng 3 hay gì á giờ hết rồi nhưng có nhiều ví điện tử đề mua vé xem phim nhưng vẫn chọn Shopee và thanh toán qua ShopeePay vì thanh toán cực hời và nhiều ưu đãi từ đối tác hihii +++Này là tui mua cho người ta chứ không có đi coi luôn á mà vẫn thấy có ưu đãi là thích lắm rồi nên tranh thủ theo dõi để biết thêm ưu đãi nhé. Cuối cùng là chúc mọi người săn sale thành công và có được may mắn khi tham gia minigame trong group Ghiền ShopeePay ạ🥰",Commercial,Shopee Programs
Non Owned,"🥓🥓 𝘽𝘼 𝘾𝙃𝙄̉ 𝘽𝙊̀ 𝙈𝙔̃ 𝙉𝙐̛𝙊̛́𝙉𝙂 𝘼̆𝙉 𝙑𝘼̀𝙊 𝘽𝙀𝙊 𝘽𝙀́𝙊 𝙆𝙀̂́𝙏 𝙃𝙊̛̣𝙋 𝙏𝙃𝙀̂𝙈 𝟭 𝘾𝙃𝙐́𝙏 𝙑𝘼𝙉𝙂 𝘿𝙊̉ 𝙈𝘼𝙎𝙎𝙊 𝘼𝙉𝙏𝙄𝘾𝙊 𝙄𝙇 𝙋𝙊𝙏𝙀𝙍𝙀 𝘾𝙊̀𝙉 𝙂𝙄̀ 𝘽𝘼̆̀𝙉𝙂 𝙉𝙐̛̃𝘼 𝘿𝙐́𝙉𝙂 𝙆𝙃𝙊̂𝙉𝙂 𝘾𝘼̉ 𝙉𝙃𝘼̀ 🥓🥓      ️🛒️🛒️🛒 Giá bán :         ⛳ BA CHỈ BÒ MỸ : #290k/ kg          ⛳ RƯỢU VANG ĐỎ Ý MASSO ANTICO IL POTERE : #300k/ chai  ️🎵️🎵 Ba chỉ bò là phần thịt được lấy từ phần bụng của con bò, là phần thịt với những dải thịt nạc và thịt mỡ xen kẽ nhau tạo nên độ mềm, ngậy, ngọt nhưng hoàn toàn không ngấy.  ️🎵️🎵 Ba chỉ bò mỹ nướng được bào lát 4 – 5 mm phù hợp cho món nướng, BBQ, áp chảo, với độ dày miếng thịt như trên khi đem nướng ở nhiệt độ 200 độ mặt ngoài vừa đạt chín vàng thì thịt bên trong cũng vừa chín tới, giữ được nước ngọt bên trong khiến miếng thịt thơm ngon, mềm ngọt mà vẫn đượm vị thơm lừng của món bò nướng BBQ.  ️🎵️🎵 Chế biến gì từ ba chỉ bò nhập khẩu: Bò nhập khẩu rất dễ chế biến. Những món ăn nấu từ thịt ba chỉ bò Mỹ cũng rất đơn giản như xào, lẩu, cuốn cải nướng, cuốn nấm kim châm nướng, nhúng giấm hay làm salad  🥂🥂 𝑹𝒖̛𝒐̛̣𝒖 𝒗𝒂𝒏𝒈 𝑴𝒂𝒔𝒔𝒐 𝑨𝒏𝒕𝒊𝒄𝒐 𝑰𝑳 𝑷𝒐𝒕𝒆𝒓𝒆 có mùi thơm của các loại hoa quả chín quyện hoà cùng với hương gỗ sồi thơm nức. Chúng tạo nên một mùi thơm tự nhiên, làm say đắm lòng người. Vị rượu chua thanh, ngọt dịu pha chút chát và se cay nơi đầu lưỡi tạo nên một hương vị hoàn hảo, tan chảy trong miệng của người thưởng thức. Màu đỏ ruby ánh tím của rượu cũng là một điểm cộng của chai vang Masso Antico IL Potere tuyệt hảo này.   ☎️ Đặt hàng nhanh: 0949.200.284-0917234454 📲 Zalo: zalo.me/0949.200.284-0917234454 📍 Shopee: https://shopee.vn/y20market 💬 Inbox: m.me/thucphamhangxachtay 🌟Website: http://sieuthiy20market.com/ 🏠 Địa chỉ: 47 Đường số 14,phường 8,Quận Gò Vấp,Tp.HCM  #Y20MARKET #SIEUTHIGOVAP #HANGNHAPKHAUMY #THUCPHAMTUOISONG #THITBO #THITBONHAPKHAU #BACHIBOMY #MASSOANTICOILPOTERE #VANGDO #RUOUVANGDO",Others,Cannot defined
Google Play,ko có cuộc gọi nhỡ báo hàng ko nhận thành công :)),Delivery,Driver
Google Play,Bị lỗi ròi không vào app đc,Feature,App performance
Google Play,Shopee thật thực nên thêm phần đánh giá thái độ làm việc của nhân viên giao hàng cho khách. Mua hàng thì chất lượng nhg shiper thì quá ối giời ôi,Delivery,Driver
Google Play,Quá tệ đơn hàng có từ Hà Nội về Hà Nam mà mãi không chịu phát hàng mặc dù đã nói vs hộ trợ là hàng gấp mang tiếng giao hàng nhanh với hỏa tốc mà còn thua cả bưu cục nhà nước chuyên gia giao chậm nữa nói chung là tồi các bạn có thể cân nhắc đổi qua tiki chứ lzd cũng chả kém cạnh đâu,Delivery,Delivery time
Google Play,Thằng tổ đang có việc cần gấp thì bắt cập nhật. Sao ko để lúc rảnh ng dùng tự cập nhật lên. Xóa luôn app chuyển qua app khác,Feature,App performance
Google Play,App dùng bị dơ k chọn sản phẩm đc,Feature,App performance
Google Play,Cứ bị lỗi liên kết ví với tk ngân hàng suốt,Payment,ShopeePay
Google Play,"Lỗi hoài, làm ăn như cc",Others,Cannot defined
Non Owned,"anh chị cho em hỏi, em có đơn khách ở Hà Nội muốn đổi hàng, e có thể dùng app nào để khách trả hàng và giao hàng mới cho khách được ạ, kiểu ship lấy hàng của shop đi đến đưa cho khách và nhận hàng khách trả mang về shop ấy ạ",Others,Seller
HC search,phí vận chuyển quá cao,Delivery,Shipping fee
Owned,"THẾ LÀ TRUNG THU NĂM NAY VẪN MỘT MÌNH, VẪN CHƯA CÓ BỒ, VẪN CHƯA CÓ BỒ 😞 #nghienshopee #fun",Others,Cannot defined
Google Play,Yô,Others,Cannot defined
Google Play,Lúc đầu sd khá ổn về sau tặng vocher k sd đc :),Feature,Apply Voucher
Google Play,Không sử dụng được miễn ship cho người mới . Lỗi r,Feature,Apply Voucher
Google Play,"Việc lướt Shopee làm mình cáu thật sự, mạng 5g mà app cứ đứng rồi lag ... Như cc á, vì mua đồ nên ráng kiên nhẫn lướt lâu nay nhma thực sự bây giờ bị tức nước vỡ bờ luôn á. Tóm lại là lag, đơ như cc",Feature,App performance
Google Play,"Lỗi lỗi và lỗi... lag ko chịu đc, mượt đc 1 lúc thì lag gấp N lần ấn gì cũng ko đc",Feature,App performance
Non Owned,Yamaha Exciter 135 Huyền Thoại 8x l Review Ex135 độ siêu Truất và Đẳng cấp phong cách Malay l Qteam,Others,Cannot defined
Google Play,Cập nhập xog lỗi ko vào đc sửa nhanh lên,Feature,App performance
Google Play,"Mua đc đơn mà giao về thị ko hết, mua xong đầu tiên xong là khóa tài khoản của ng ta luôn đăng nhập lại thì bảo bị lỗi tài khoản có vấn đề ủa alo",Shopee account,Banned/blocked
iOS,"App lag dã mannn. Load mãi ko xong. Lại còn rất rất nhiều tin nhắn rác, rất bực mình",Feature,App performance
iOS,Cảm thấy tệ,Others,Cannot defined
Owned,"Một chiếc shop rất thành thật ạ, vì shop dễ thương nên mình sẽ nhất định giảm cân để ủng hộ shop nha 😍 #NghienShopee #nghienmuasam",Buyer complained seller,Customer service (didn't respond/impolite)
Google Play,"Sao quảng cáo vào đt tao lắm thế, trong khi tao chưa từng tải về",Commercial,Promotions
Google Play,Shipper không liên hệ mà tự ý hủy đơn,Delivery,Driver
Google Play,Nếu có một bảng xếp hạng độ đơ thì app này đứng thứ hai không app nào đủ tư cách đứng thứ nhất.,Feature,App performance
Google Play,"Tiền ship đắt vãi,mua có 1 cái nhẫn bé tí ship tận hai mấy nghìn đồng đắt hơn cả sản phẩm",Delivery,Shipping fee
Non Owned,"Hàng giả, hàng nhái tràn lan “chợ mạng”",Buyer complained seller,Illegal/counterfeit products
Google Play,Đcm shopee người ta đang chơi game mà bị quảng cáo làm phiền quá😡 tôi cần khắc phục lại không còn quảng cáo😡,Commercial,Promotions
Non Owned,Chéo fl em trả liền ạ:,Others,Seller
Google Play,"Shop hãy khắc phục thời gian giao hàng với ạ, đặt từ ngày 23-4 h đến 3-5 vẫn chưa thấy gì. Mà trong khi đó nói giao và nhận hàng trước 3-5 😀",Delivery,Delivery time
Non Owned,Cách gọi ship để đi giao hàng cho khách như nào vậy ạ? Và ship cod là gì vậy 😢😢,Others,Cannot defined
Google Play,Toàn lỗi ko mua được hàng,Others,Cannot defined
Google Play,Ứng dụng quá là đơ. Càng dùng càng đơ thì mua bán cái mẹ j.,Feature,App performance
Google Play,Tự dưng bị lối mua hàng giới hạn,Others,Cannot defined
